productId,title,stock
73804,Camisa Estampada Joinha Joinha_Rosa Topazio - GG,True
83351,Vestido Midi Estampado Ravenala Ravenala_Off White - G,True
74367,Top Estampado Frescor Tropical Est Frescor Tropical_Off White - GG,True
78602,Sandália Puffer Platform Estampada Vermelho - 36,True
84129,Calça Sarja Loose Bisne Verde Senecio - 36,True
73468,Sapato Oxford Costela De Adão Preto - 37,True
149868,Sand Puff Flatform Preto - 38,True
80112,Blusa Estampada Bordando Flor Bordando Flor_Rosa Fucsia - P,True
75477,Calendário é Sol o Ano Inteiro Multicolorido - U,True
74735,Regata Básica Rib Bege Amêndoa - PP,True
83631,Vestido Transpassado Estampado Chita Bella Flor Chita Bella Flor_Rosa Turco - G,True
77441,Short Estampado Biribá Biriba_Amarelo Craspedia - PP,True
152128,Bolsa Fervo Mandalina Mandalina - U,True
83088,Macacão Estampado Doce Caminho Doce Caminho_Off White - PP,True
72423,Top Adidas Estampado Boho Flower Royal Azul Escuro - PP,True
74922,Bermuda Jeans Cargo Jeans - 36,True
71918,Saia Recortes Metabrilho Laranja Mamao - P,True
74504,Camisa Artesanal Renda Off White - P,True
79885,Vestido Curto Estampado Flor De Coqueiro Flor De Coqueiro_Verde Estardante - PP,True
83906,Blusa Franzida Amarração Vermelho Morango - P,True
83990,Bata Mangas Listras Listra Vermelho Morango/Off White - GG,True
84730,Sand Puff Flatform Rio De Flor - 34,True
149777,Mala Me Leva p Folhagem Cool Folhagem Cool - U,True
62561,Sand Zigzag Preto - 38,True
84413,Blazer Estampado Bananarte Bananarte_Off White - GG,True
57365,Colar Pequeno Yawanawa Multicolorido - U,True
84171,Body Frufru Estampado Milani Milani_Off White - P,True
61012,Mule Amarracao Xadrez Pitanga Xadrez Banana Preto - 38,True
68209,Top Sem Manga Adidas All Together Lilás Multicolorido - P,True
79653,Tn Pista Camurça Preto - 39,True
76069,Saia Paetê Zodíaco Preto - P,True
73076,Camisa Estampada Helicônia Heliconia_Vermelho Caiena - M,True
68178,Moletom Adidas Estampado In Movement Pastel Multicolorido - P,True
84593,Vestido Longo Estampado Noite Dos Cisnes Noite Dos Cisnes_Azul Veneza - P,True
152100,Tênis Fervo Floral Encanto Amarelo - 35,True
75498,Sandália Rasteira Sola Recuada Crochê Caramelo - 34,True
62562,Sand Aranha Preto - 37,True
82922,Vestido Estampado Sonho Quadriculado Sonho_Off White - G,True
84369,Bata Estampada Lenço Floraline Lenco Floraline_Off White - G,True
84334,Calça Jeans Laser Abacaxi Deco Jeans - 38,True
80870,Calça Recorte Sarja Off Off White - 44,True
75235,Calça Trançada Lateral Verde Cardo - P,True
83548,Vestido Estampado Floral Solar Floral Solar_Amarelo Astral - GG,True
57529,Tenis Ginga Mule Bordado Micanga Cru - 37,True
78167,Calça Pantalona Barra Larga Vermelho Espetaculo - GG,True
73943,Top Estampado Bronzeado Bronzeado_Rosa Gandaia - M,True
84454,Vestido Cropped Estampado Samambaia Est Samambaia_Off White @ - M,True
81569,Camisa Estampada Alegria Alegria_Off White - P,True
74934,Calça Reta Pregas Verde Cardo - G,True
83137,Camisa Estampada Quadriculado De Sonho Quadriculado Sonho_Off White - PP,True
72353,Short Sarja Estampado Abacaxi Cobogó Abacaxi Cobogo_Sarja_Bege Cupuacu - 34,True
83798,Macacão Corselet Pantalona Off White - M,True
148057,Saia Longa Fenda Black Jeans Black Jeans - 40,True
74826,Bermuda Bordado Lateral Bege Amendoa - PP,True
80352,Saia Cropped Estampada Farm Rio Farm Rio_Off White - M,True
75737,Regata Entremeios Estampada Fruta Bordada Est Fruta Bordada_Preto - P,True
79931,Calça Estampada Fauna Fantástica Est Fauna Fantastica_Azul Maceio - PP,True
74657,Biquíni Estampado Floral Neon Floral Neon_Laranja Dalia - GG,True
80101,Body Estampado Aquarela Tropical Aquarela Tropical_Bege Barbante - P,True
