userProfileId,total_sales_value
,412541.14999999997
e566a1b5-b59d-41d7-97e4-ceece65d191e,39070.0
96dfbefc-6ad4-4a6e-a8ee-d854d4c56ab6,28235.0
72c53e73-a9b8-439b-bcab-1c5aa4c68193,24065.0
b5d76eb5-d7f9-49a3-a872-684e63a550ee,20002.4
0a20fd05-7293-4d2c-a554-c1045a8751c3,20002.0
459f8b0a-917c-45f6-9c22-64cddc448329,18208.5
aaf74c78-ca2d-4313-8601-4e376046b41b,17742.0
1080452a-0662-497f-b5fa-40307cce9bb5,15324.99
6a680b7f-7af0-4ecd-80f3-2d01f9e16679,13498.92
693b608f-521c-4e6b-8067-dca1496e85b6,13424.4
f33be2ca-b830-415b-9a44-12ad3ac74421,12969.8
3eb66b62-0ed3-4195-8e1f-9c342e1281f5,12513.98
8a321986-ed64-4a19-901a-5110e26ec69e,12266.5
e5d013c5-8358-499f-8bad-611989bfb50f,12149.99
785444fb-1fbc-4d56-8563-75ea8a5a9661,11918.390000000001
ca94fb6d-6d5d-4d51-bfa0-07cc522d465c,11859.0
37d90d96-7415-4d97-9c40-e21f27fe7057,11855.99
ff1f659e-145b-4fce-9e18-f8d3675ff1f5,11443.55
749d8fd6-2eea-429b-9f4e-743b4c573246,11101.92
0d6df442-3f18-47eb-bd55-a05a07347772,11100.4
2a9d5e81-8970-4413-9e1f-952d186993b7,10950.0
a0873ded-12cf-4253-bc9a-cb22310e212a,10533.0
05ec67ce-8153-4930-8c3f-7a3e636c42d9,10363.0
5e147111-2112-4396-92ee-7db3700bf55f,9990.0
44fd6118-c055-448a-805a-1466f4de17ae,9913.0
b0fa2f63-16f0-4434-8c36-e51b3e86e568,9888.0
aecf33f3-064a-469b-9eca-19daf2f393d9,9868.96
c828a0da-a8fe-4a86-ba54-ae3884abd845,9867.0
a11755e1-e3bb-4e20-a7e3-f45f00773dd4,9815.9
9b9e516e-06a5-4a3b-987a-c651d4831748,9302.6
ed1935ac-5992-470d-a446-5a4947a78acb,9272.0
374555d0-3002-4f3f-ab4b-d6995327132b,9202.0
e425f8fd-5c27-4b84-a622-2534e439b2f6,9024.03
427ecd1d-05ee-4051-bbd2-d908fd5999a5,8892.99
1d09873a-cf47-49a0-b1de-9fa9a119b041,8824.96
e8ecfff6-f1c7-4a3e-ba81-e039056b4a07,8797.400000000001
b874a499-d8f5-4e90-8345-01773dc39a61,8703.939999999999
41a3f543-a7b8-4095-99cc-8e038e7333b2,8686.8
56b0b35a-1958-4d92-bd63-28627c9a8731,8684.0
b2c1b8e4-f0d0-4fad-a0ed-f835eb3d8106,8623.94
10463176-3c82-4922-a506-12cd7f0e2fd8,8544.0
0ad7c50f-cf41-43e8-ae5d-aadf76383995,8498.0
f6b1f218-ec75-4094-ac34-de33bcfe5221,8364.0
daeeb4ca-c753-47e6-a454-dab7a86e2293,8208.0
a6a884b7-744e-4a3e-8b29-e42e04a2cd63,8147.0
c6c4e766-29fd-40a8-a9f3-0668d9a1823d,8135.0
7b76f080-2f72-4e3d-8de1-2c40c30836c7,8115.3
9e1297ec-b8d0-46d3-8d5b-59b07dd3aeb0,8114.0
c2ab42d7-0691-4452-b681-963fba9728a1,8113.0
f0b30fd8-dbf0-4590-b2f4-5ec135d34594,8112.0
5b610c5d-0e98-4081-994b-97a225e2fa51,8021.0
15d210af-18ee-4429-8a17-dffa508776f5,7949.0
09df3c45-5640-444d-b561-e7bb3ca0d9dd,7915.0
e16749c8-3739-4d76-b4ee-9df492465b78,7841.5
6137469b-f1a5-410d-b322-01a70baf425e,7839.0
48d2011d-4fd2-4ef4-a01f-826a18b74f74,7772.200000000001
89bcb19c-a236-4f35-aa74-895fed0c5bb7,7769.869999999999
82ee3e57-cabd-42e3-bf1b-e8c0ecf24348,7738.99
66663dfb-2542-4b59-a78c-638e4fd21f53,7701.0
2bb02bf3-cd0f-42e7-b6aa-52cf84c15b71,7649.389999999999
d4a7f3db-2b47-4ea7-9251-1a21d62056d2,7591.0
520e5b63-e652-413f-bb14-e58d7bbe7673,7474.92
10385e92-eedb-4766-aeff-86f2d7339b5e,7404.6
07369f0a-a794-4cef-a425-557d9e48d96c,7299.0
5b6922a6-d035-42f5-bd98-3080213e90cf,7291.0
88204b39-9996-4801-a38a-a4fd3aeb4283,7251.98
dee268a8-1182-4123-b41f-b3a135fdc947,7241.6
a3eecffa-55ba-469b-94e3-2d3343d8ac68,7161.92
023efc74-c57f-49ca-9668-1dbdcf7ad4bd,7120.0
559afd39-7075-4bef-bcb4-2723d8cf0a8f,7086.0
0e3f72fb-13b4-4f5d-8336-46e06d19552b,6992.0
a584c08a-df79-4d36-b696-25e72fa568fe,6990.0
4a577bd6-77d0-460d-95ef-10b5d6af5b02,6976.0
