city,total_revenue
Ouro Preto,18621.1
Marataízes,18585.0
Armação dos Búzios,18561.15
Viana,18507.07
Cordeiro,18467.489999999998
Guanambi,18375.89
Ilhabela,18375.28
Alfenas,18339.47
Chapecó,18191.2
Diamantina,18171.989999999998
Trindade,18109.55
Queimados,18096.449999999997
Araxá,18078.989999999998
Cruzeiro do Sul,18073.5
São João da Boa Vista,18035.08
Castanhal,18013.48
Nova Esperança,17863.379999999997
Palhoça,17837.339999999997
Alagoinhas,17825.48
Assis,17743.4
Tangará da Serra,17687.8
Birigüi,17657.9
Ubatuba,17619.489999999998
Itumbiara,17616.7
Vilhena,17519.5
Miracema,17511.129999999997
Lorena,17344.18
Pelotas,17337.9
Pancas,17315.2
Jaboticabal,17221.98
Suzano,17191.0
Formiga,16818.95
Itamaraju,16812.58
João Monlevade,16803.0
Bom Jardim,16629.39
Três Lagoas,16427.769999999997
Paracambi,16375.46
Caruaru,16359.2
São João da Barra,16232.49
Simões Filho,16208.8
Araras,16185.55
Teixeira de Freitas,16086.39
Piraí,16077.47
Cristalina,15989.99
Jacarezinho,15972.49
Itapetininga,15903.5
Santo Antônio de Pádua,15808.97
Garopaba,15765.779999999999
Várzea Grande,15758.99
Varginha,15597.5
Januária,15581.99
Canoas,15581.49
Batatais,15482.89
Sabará,15431.79
Carangola,15371.99
Boa Esperança,15298.0
Leme,15290.97
Afonso Cláudio,15225.97
Bom Jesus do Itabapoana,15218.0
Guapimirim,15190.369999999999
Mauá,15189.890000000001
Miguel Pereira,15160.66
Tupã,15144.2
Ipanema,14957.5
Camaragibe,14908.08
Santa Rita do Sapucaí,14853.48
Nanuque,14805.2
Mogi Mirim,14700.9
Piúma,14699.679999999998
Pinhais,14514.599999999999
Três Corações,14486.38
Santa Cruz do Capibaribe,14466.369999999999
Bom Despacho,14336.4
Cachoeiras de Macacu,14201.710000000001
Aperibé,14082.49
Paraguaçu Paulista,14001.0
Itu,13949.0
São Gabriel da Palha,13912.59
Passo Fundo,13902.599999999999
Luís Eduardo Magalhães,13827.2
Mandaguari,13750.6
Jardinópolis,13693.47
Olímpia,13510.980000000001
Conceição de Macabu,13507.279999999999
Guaratinguetá,13499.89
João Neiva,13492.0
Curvelo,13472.900000000001
Ourinhos,13428.7
Padre Paraíso,13159.87
Quissamã,13133.5
Tietê,13086.99
São Francisco de Itabapoana,13082.759999999998
Pirapora,13068.7
Pirassununga,13067.1
Cantagalo,13049.58
Itapira,13005.99
Itaipé,12999.0
Campo Novo do Parecis,12869.0
Resende Costa,12824.0
Itapuranga,12739.49
Corumbá,12731.0
Lages,12676.98
Natividade,12375.39
Jataí,12367.2
Pedro Canário,12312.6
Quirinópolis,12231.99
Brodowski,12102.59
Jaguariúna,12062.4
Ilha Solteira,12048.2
Pedro Leopoldo,12025.0
Ibiporã,11959.7
Cáceres,11937.6
Araguaína,11906.0
Itapemirim,11881.490000000002
Bebedouro,11768.98
Marialva,11736.49
Lins,11704.79
Vitória de Santo Antão,11695.39
Senhor do Bonfim,11680.2
Francisco Beltrão,11662.0
Anchieta,11644.599999999999
Itabaiana,11608.0
Lucas do Rio Verde,11514.35
Campo Mourão,11436.1
São Lourenço,11423.49
Mirassol,11403.4
Cosmópolis,11387.0
